time	V(vout)
0.000000000000000e+00	4.837601e-04
1.764215868232506e-01	4.839357e-04
3.528431736465013e-01	4.840020e-04
5.292647604697519e-01	4.839591e-04
7.056863472930025e-01	4.838070e-04
8.821079341162531e-01	4.835457e-04
1.058529520939504e+00	4.831752e-04
1.234951107762754e+00	4.826954e-04
1.250576107762754e+00	4.830334e-04
1.266201107762754e+00	4.834250e-04
1.281826107762754e+00	4.838702e-04
1.297451107762754e+00	4.843690e-04
1.313076107762754e+00	4.849215e-04
1.328701107762754e+00	4.855276e-04
1.344326107762754e+00	4.861874e-04
1.356602893477040e+00	4.825387e-04
1.368879679191325e+00	4.800297e-04
1.381156464905611e+00	4.786605e-04
1.393433250619897e+00	4.784311e-04
1.405710036334183e+00	4.793415e-04
1.417986822048468e+00	4.813916e-04
1.430263607762754e+00	4.845815e-04
1.442540393477040e+00	4.903429e-04
1.454817179191325e+00	4.935411e-04
1.467093964905611e+00	4.941760e-04
1.479370750619897e+00	4.922476e-04
1.491647536334183e+00	4.877559e-04
1.503924322048468e+00	4.807010e-04
1.516201107762754e+00	4.710827e-04
1.539638607762754e+00	4.640406e-04
1.555263607762754e+00	4.715142e-04
1.578701107762754e+00	4.979295e-04
1.594326107762754e+00	5.145685e-04
1.609951107762754e+00	5.188258e-04
1.617763607762754e+00	5.141111e-04
1.625576107762754e+00	5.046165e-04
1.641201107762754e+00	4.744362e-04
1.656826107762754e+00	4.405119e-04
1.664638607762754e+00	4.277503e-04
1.672451107762754e+00	4.208208e-04
1.680263607762754e+00	4.214767e-04
1.688076107762754e+00	4.306854e-04
1.695888607762754e+00	4.483870e-04
1.703701107762754e+00	4.733594e-04
1.727138607762754e+00	5.634415e-04
1.734951107762754e+00	5.854739e-04
1.742763607762754e+00	5.967564e-04
1.750576107762754e+00	5.942591e-04
1.758388607762754e+00	5.764024e-04
1.766201107762754e+00	5.434731e-04
1.774013607762754e+00	4.978457e-04
1.781826107762754e+00	4.439505e-04
1.797451107762754e+00	3.371825e-04
1.805263607762754e+00	2.992489e-04
1.813076107762754e+00	2.810989e-04
1.820888607762754e+00	2.879534e-04
1.828701107762754e+00	3.223636e-04
1.836513607762754e+00	3.834924e-04
1.844326107762754e+00	4.667563e-04
1.852138607762754e+00	5.639259e-04
1.859951107762754e+00	6.637369e-04
1.867763607762754e+00	7.529971e-04
1.875576107762754e+00	8.181107e-04
1.883388607762754e+00	8.468689e-04
1.891201107762754e+00	8.303021e-04
1.899013607762754e+00	7.643493e-04
1.906826107762754e+00	6.510929e-04
1.914638607762754e+00	4.993316e-04
1.922451107762754e+00	3.243202e-04
1.930263607762754e+00	1.465960e-04
1.938076107762754e+00	-1.007506e-05
1.945888607762754e+00	-1.214771e-04
1.953701107762754e+00	-1.661714e-04
1.961513607762754e+00	-1.287950e-04
1.969326107762754e+00	-2.995146e-06
1.977138607762754e+00	2.064533e-04
1.984951107762754e+00	4.827453e-04
1.992763607762754e+00	7.976533e-04
2.000576107762754e+00	1.113772e-03
2.008388607762754e+00	1.388320e-03
2.016201107762754e+00	1.578210e-03
2.024013607762754e+00	1.645855e-03
2.031826107762754e+00	1.565043e-03
2.039638607762754e+00	1.326081e-03
2.047451107762754e+00	9.394134e-04
2.055263607762754e+00	4.369996e-04
2.063076107762754e+00	-1.290287e-04
2.070888607762754e+00	-6.906408e-04
2.078701107762754e+00	-1.170933e-03
2.086513607762754e+00	-1.493334e-03
2.094326107762754e+00	-1.592054e-03
2.102138607762754e+00	-1.422521e-03
2.109951107762754e+00	-9.703963e-04
2.117763607762754e+00	-2.577377e-04
2.125576107762754e+00	6.549202e-04
2.133388607762754e+00	1.671429e-03
2.141201107762754e+00	2.668129e-03
2.149013607762754e+00	3.506834e-03
2.156826107762754e+00	4.051585e-03
2.164638607762754e+00	4.187450e-03
2.172451107762754e+00	3.839058e-03
2.180263607762754e+00	2.986343e-03
2.188076107762754e+00	1.674942e-03
2.195888607762754e+00	1.913292e-05
2.203701107762754e+00	-1.804149e-03
2.211513607762754e+00	-3.570604e-03
2.219326107762754e+00	-5.032415e-03
2.227138607762754e+00	-5.948597e-03
2.234951107762754e+00	-6.118659e-03
2.242763607762754e+00	-5.415483e-03
2.250576107762754e+00	-3.812856e-03
2.258388607762754e+00	-1.403153e-03
2.266201107762754e+00	1.598629e-03
2.274013607762754e+00	4.866979e-03
2.281826107762754e+00	7.994745e-03
2.289638607762754e+00	1.053719e-02
2.297451107762754e+00	1.206732e-02
2.305263607762754e+00	1.223641e-02
2.313076107762754e+00	1.083231e-02
2.320888607762754e+00	7.827094e-03
2.328701107762754e+00	3.406314e-03
2.336513607762754e+00	-2.026715e-03
2.344326107762754e+00	-7.875422e-03
2.352138607762754e+00	-1.340395e-02
2.359951107762754e+00	-1.781736e-02
2.367763607762754e+00	-2.036101e-02
2.375576107762754e+00	-2.042842e-02
2.383388607762754e+00	-1.766440e-02
2.391201107762754e+00	-1.204884e-02
2.399013607762754e+00	-3.946798e-03
2.406826107762754e+00	5.886789e-03
2.414638607762754e+00	1.635524e-02
2.422451107762754e+00	2.612210e-02
2.430263607762754e+00	3.376051e-02
2.438076107762754e+00	3.793579e-02
2.445888607762754e+00	3.760038e-02
2.453701107762754e+00	3.217561e-02
2.461513607762754e+00	2.169387e-02
2.469326107762754e+00	6.876905e-03
2.477138607762754e+00	-1.086818e-02
2.484951107762754e+00	-2.954477e-02
2.492763607762754e+00	-4.675370e-02
2.500576107762754e+00	-5.995937e-02
2.508388607762754e+00	-6.681120e-02
2.516201107762754e+00	-6.548686e-02
2.524013607762754e+00	-5.501524e-02
2.531826107762754e+00	-3.553236e-02
2.539638607762754e+00	-8.424703e-03
2.547451107762754e+00	2.367907e-02
2.555263607762754e+00	5.709163e-02
2.563076107762754e+00	8.742759e-02
2.570888607762754e+00	1.101154e-01
2.578701107762754e+00	1.210062e-01
2.586513607762754e+00	1.170027e-01
2.594326107762754e+00	9.661846e-02
2.602138607762754e+00	6.038322e-02
2.609951107762754e+00	1.102602e-02
2.617763607762754e+00	-4.660513e-02
2.625576107762754e+00	-1.059025e-01
2.633388607762754e+00	-1.591247e-01
2.641201107762754e+00	-1.982518e-01
2.649013607762754e+00	-2.160012e-01
2.656826107762754e+00	-2.069087e-01
2.664638607762754e+00	-1.683467e-01
2.672451107762754e+00	-1.013333e-01
2.680263607762754e+00	-1.097529e-02
2.688076107762754e+00	9.359661e-02
2.695888607762754e+00	1.999039e-01
2.703701107762754e+00	2.934303e-01
2.711513607762754e+00	3.594680e-01
2.719326107762754e+00	3.852435e-01
2.727138607762754e+00	3.619874e-01
2.734951107762754e+00	2.865540e-01
2.742763607762754e+00	1.623404e-01
2.750576107762754e+00	-5.099336e-04
2.758388607762754e+00	-1.856370e-01
2.766201107762754e+00	-3.717010e-01
2.774013607762754e+00	-5.342746e-01
2.781826107762754e+00	-6.483905e-01
2.789638607762754e+00	-6.916320e-01
2.797451107762754e+00	-6.475091e-01
2.805263607762754e+00	-5.087681e-01
2.813076107762754e+00	-2.801432e-01
2.820888607762754e+00	1.998648e-02
2.828701107762754e+00	3.594518e-01
2.836513607762754e+00	6.942982e-01
2.844326107762754e+00	9.738712e-01
2.852138607762754e+00	1.149292e+00
2.859951107762754e+00	1.183551e+00
2.867763607762754e+00	1.058805e+00
2.875576107762754e+00	7.776902e-01
2.883388607762754e+00	3.608387e-01
2.891201107762754e+00	-1.552363e-01
2.899013607762754e+00	-7.192491e-01
2.906826107762754e+00	-1.267175e+00
2.914638607762754e+00	-1.726737e+00
2.922451107762754e+00	-2.024539e+00
2.930263607762754e+00	-2.095350e+00
2.938076107762754e+00	-1.892673e+00
2.945888607762754e+00	-1.399224e+00
2.953701107762754e+00	-6.362215e-01
2.961513607762754e+00	3.278983e-01
2.969326107762754e+00	1.358559e+00
2.977138607762754e+00	2.188214e+00
2.984079032569571e+00	2.535487e+00
2.987796901047219e+00	2.531912e+00
2.991667682592788e+00	2.437665e+00
2.995901875632807e+00	2.295784e+00
3.000462841998846e+00	2.079900e+00
3.008275341998846e+00	1.569942e+00
3.016087841998846e+00	9.101022e-01
3.023900341998846e+00	1.186208e-01
3.031712841998846e+00	-7.408152e-01
3.039525341998846e+00	-1.582273e+00
3.047337841998846e+00	-2.304589e+00
3.055150341998846e+00	-2.741115e+00
3.061902545692052e+00	-2.797626e+00
3.062097695442206e+00	-2.789618e+00
3.062487994942515e+00	-2.763311e+00
3.063268593943131e+00	-2.712150e+00
3.064480990207017e+00	-2.633712e+00
3.066626162735438e+00	-2.490666e+00
3.069810857130280e+00	-2.256119e+00
3.072938393541835e+00	-1.985376e+00
3.075990301534581e+00	-1.668282e+00
3.079598986046289e+00	-1.229319e+00
3.083095775512249e+00	-7.375550e-01
3.090089354444170e+00	3.599821e-01
3.097901854444170e+00	1.564807e+00
3.105714354444170e+00	2.405127e+00
3.112204390242129e+00	2.611106e+00
3.115404278182801e+00	2.561861e+00
3.118457861761617e+00	2.482618e+00
3.121340501781933e+00	2.395599e+00
3.125807674987044e+00	2.227408e+00
3.129869445606267e+00	2.029169e+00
3.135189612581760e+00	1.694607e+00
3.141072933968491e+00	1.235857e+00
3.147702998181627e+00	6.199439e-01
3.155515498181627e+00	-1.923554e-01
3.163327998181627e+00	-1.032172e+00
3.171140498181627e+00	-1.814891e+00
3.178952998181627e+00	-2.440159e+00
3.186765498181627e+00	-2.731498e+00
3.194577998181627e+00	-2.562831e+00
3.198357678394472e+00	-2.305717e+00
3.200990395029072e+00	-2.074980e+00
3.203497371859718e+00	-1.826010e+00
3.207150186155984e+00	-1.400877e+00
3.210718798062402e+00	-9.225139e-01
3.215251830779154e+00	-2.368218e-01
3.220361232233139e+00	5.983825e-01
3.226290127349947e+00	1.548221e+00
3.233229168887731e+00	2.364470e+00
3.238934980584038e+00	2.610861e+00
3.242105076131922e+00	2.582307e+00
3.245151606964969e+00	2.512041e+00
3.248341554940136e+00	2.427778e+00
3.251415441658065e+00	2.331715e+00
3.254531849011545e+00	2.212808e+00
3.257623879366490e+00	2.069375e+00
3.260702558012814e+00	1.899366e+00
3.263774847575200e+00	1.702280e+00
3.266831292419073e+00	1.479472e+00
3.269871343457060e+00	1.232600e+00
3.272901712969014e+00	9.634488e-01
3.275906815189056e+00	6.762937e-01
3.278902466085730e+00	3.729946e-01
3.281870110124753e+00	5.925615e-02
3.284825344301772e+00	-2.623666e-01
3.287752215404133e+00	-5.856375e-01
3.290663666173756e+00	-9.072643e-01
3.293547210264527e+00	-1.221009e+00
3.296413134126204e+00	-1.523080e+00
3.299252572218298e+00	-1.807660e+00
3.302072894072343e+00	-2.070719e+00
3.304869435751154e+00	-2.307236e+00
3.307646035286044e+00	-2.513208e+00
3.310402851748985e+00	-2.684625e+00
3.313139685230675e+00	-2.817739e+00
3.315861839955462e+00	-2.891989e+00
3.318565333006932e+00	-2.881402e+00
3.319619519636455e+00	-2.838480e+00
3.321040759073110e+00	-2.749293e+00
3.322303689082233e+00	-2.667409e+00
3.323593488605207e+00	-2.583444e+00
3.324914672772918e+00	-2.495585e+00
3.326188355568946e+00	-2.407187e+00
3.327499292435525e+00	-2.310122e+00
3.328789865918739e+00	-2.206558e+00
3.330090318900559e+00	-2.092789e+00
3.331391796338257e+00	-1.968998e+00
3.332695758375028e+00	-1.834967e+00
3.334004622616995e+00	-1.690554e+00
3.335318877512137e+00	-1.535876e+00
3.336637757973389e+00	-1.371242e+00
3.337965592362223e+00	-1.196367e+00
3.339298821205286e+00	-1.012024e+00
3.340643287626082e+00	-8.177623e-01
3.341994994322243e+00	-6.145805e-01
3.343359690127964e+00	-4.021094e-01
3.344733709357851e+00	-1.815014e-01
3.346122512431172e+00	4.743398e-02
3.347522655229106e+00	2.833180e-01
3.348939462095788e+00	5.260831e-01
3.350369582608930e+00	7.739983e-01
3.351818207103891e+00	1.026559e+00
3.353282092825378e+00	1.281458e+00
3.354766180898278e+00	1.537337e+00
3.356267315770473e+00	1.790666e+00
3.357790186884221e+00	2.037877e+00
3.359331090134741e+00	2.270474e+00
3.360895802286033e+00	2.470488e+00
3.362471212746613e+00	2.603626e+00
3.364092489218526e+00	2.660851e+00
3.365484476414506e+00	2.667346e+00
3.366945765406869e+00	2.655475e+00
3.368340350159801e+00	2.635442e+00
3.369707629884042e+00	2.610519e+00
3.371060733558950e+00	2.582638e+00
3.372372730539765e+00	2.553543e+00
3.373668373316645e+00	2.523288e+00
3.374934213072493e+00	2.492361e+00
3.376176301852336e+00	2.460489e+00
3.377395424983878e+00	2.427339e+00
3.378590035369469e+00	2.392580e+00
3.379762868299554e+00	2.355808e+00
